ChannelName	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	LateralLocalizationAccuracy	Xw	Yw	Xwc	Ywc
405/561	12331.1	16537.6	12252.7	16298.4	723.72449	14976.79688	342.96207	0.3034	1.09501	345.43472	22518.13477	4442	4	10	1	843.912	843.912	2695.82344	6.38072	12331.1	16537.6	12481.6655433107	16477.2710063405
405/561	12257.2	16575.7	12178.6	16336.3	348.69974	2366.54395	332.57648	0.56786	1.36363	416.46219	5325.32129	4453	1	14	1	803.088	803.088	425.97791	19.48411	12257.2	16575.7	12407.6166900248	16515.1494809095
405/561	12269.4	16409.1	12190	16168.8	759.04352	5674.22559	349.04385	0.50755	1.10187	328.63889	9251.8418	4494	1	1	1	839.376	839.376	1021.36061	9.13717	12269.4	16409.1	12419.2073329363	16347.5692484028
405/561	12317	16563.8	12237.4	16323.3	610.73578	6722.66016	342.80225	0.2771	1.10656	233.27441	12403.1875	4501	2	12	1	841.32	841.32	1210.07883	8.63558	12317	16563.8	12466.63988253	16502.0555499588
405/561	12308.5	16534	12229.4	16294	948.1463	7067.5127	348.54245	0.39658	1.14974	305.94562	10560.33789	4513	1	7	1	829.008	829.008	1272.15229	7.50491	12308.5	16534	12458.6956823727	16472.7320667704
405/561	12261.2	16538.4	12186.1	16302.1	560.75067	4877.34521	376.50165	1.3784	1.12872	304.59009	9112.93848	4604	1	6	1	814.752	814.752	877.92214	11.4187	12261.2	16538.4	12415.8188528769	16480.6539802267
405/561	12247.9	16779.5	12175.2	16545.5	242.7829	2055.37476	371.44672	1.48262	1.00406	343.8642	4056.03003	4660	1	13	1	854.28	854.28	369.96746	25.03021	12247.9	16779.5	12405.1792839516	16723.9443836605
405/561	12303.9	16605	12231.9	16371.6	533.95984	4299.95068	362.27429	0.71419	1.2139	222.10352	7880.27783	4673	1	7	1	806.328	806.328	773.99112	10.75118	12303.9	16605	12461.9397431108	16550.0189410896
405/561	12367.8	16510.3	12297.4	16278.4	514.57178	5174.48096	296.17722	1.49425	1.11694	300.33234	10520.42871	4722	2	7	1	859.464	859.464	931.40657	9.19807	12367.8	16510.3	12527.667634059	16456.7230404812
405/561	12299.3	16503.6	12229.2	16272.1	457.51373	3545.99268	355.40775	0.70871	1.11268	292.70602	7313.78809	4745	1	33	1	832.896	832.896	638.27868	13.38891	12299.3	16503.6	12459.5746067173	16450.378025007
405/561	12292.5	16521.7	12224	16292	467.42468	2958.69556	321.18433	0.84148	1.30394	328.27499	7196.82715	4840	1	0	1	818.64	818.64	532.5652	13.72198	12292.5	16521.7	12454.8164727209	16470.0920856404
405/561	12369.7	16511.7	12301.3	16282.1	525.69543	4001.427	352.20895	0.71283	1.0513	283.19199	7185.90869	4846	1	15	1	849.744	849.744	720.25686	11.77626	12369.7	16511.7	12532.1443812248	16460.1803417923
405/561	12339.2	16515.6	12271.5	16286.7	409.32022	3178.27393	355.73297	0.83178	1.05522	273.9874	5338.97266	4886	1	24	1	847.152	847.152	572.08931	14.38405	12339.2	16515.6	12502.5304413733	16464.7020485638
405/561	12381.4	16501.8	12314	16273.2	786.56458	5732.61279	344.64276	0.04057	1.29731	162.09134	8248.18555	5049	1	37	1	804.384	804.384	1031.8703	7.38481	12381.4	16501.8	12545.7886954638	16450.8829881671
405/561	12246.6	16439.5	12246.2	16439	521.63129	17574.48438	376.87555	1.09521	1.24266	257.92947	30735.70703	114	4	15	1	825.48	825.48	3163.40719	5.90264	12246.6	16439.5	12378.5237123445	16441.4578704614
405/561	12272.3	16491.9	12265.8	16485.6	453.93335	3196.49707	338.76706	0.88927	1.61782	301.71283	5502.90088	267	1	3	1	802.8	802.8	575.36947	13.63722	12272.3	16491.9	12398.8355764524	16487.7583505304
405/561	12203.2	16488	12195.5	16476.7	565.65851	6682.78857	359.14462	0.08915	1.43616	264.59177	16668.91406	332	2	15	1	807.984	807.984	1202.90194	9.78233	12203.2	16488	12328.8380206244	16478.7310987098
405/561	12292.3	16529.8	12284.5	16481.4	575.50549	3825.33838	329.13211	1.08201	1.57321	336.56754	9436.21094	824	1	3	1	815.76	815.76	688.56091	11.58951	12292.3	16529.8	12420.1275541478	16482.4678310377
405/561	12340.3	16411.5	12332.6	16362.2	862.55432	6751.55859	357.16495	0.13196	1.506	434.15286	8406.76953	843	1	45	1	800.856	800.856	1215.28055	8.98684	12340.3	16411.5	12468.3159778795	16363.2306298941
405/561	12380.4	16419.8	12372.7	16368.8	629.73169	4129.82617	326.92502	1.36305	1.6879	260.18884	6708.76318	877	1	47	1	805.392	805.392	743.36871	9.90667	12380.4	16419.8	12508.5742106304	16369.7640592138
405/561	12284.2	16520.4	12276.5	16469.3	716.46613	7324.35254	333.96667	0.55626	1.3807	282.56128	14925.22559	882	2	13	1	835.848	835.848	1318.38346	8.20856	12284.2	16520.4	12412.3974802351	16470.2542693862
405/561	12269.3	16487.7	12261.6	16436.2	485.78943	15017.32813	357.94394	0.27417	1.34318	259.8082	25330.57031	890	4	55	1	822.888	822.888	2703.11906	6.19612	12269.3	16487.7	12397.5347116444	16437.1386056511
