ChannelName	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	LateralLocalizationAccuracy	Xw	Yw	Xwc	Ywc
405/561	16758.5	8562.9	16747.2	8496.4	149.63304	919.82782	316.51883	0.78941	1.17196	302.34872	923.64984	1140	1	193	1	13.968	13.968	165.56901	37.21842	16758.5	8562.9	17239.3413915136	8763.97377186183
405/561	17276.7	8415.8	17262	8345.4	121.77891	1383.9436	312.10718	0.88974	1.1277	339.07675	2149.90112	1226	2	224	1	23.688	23.688	249.10985	35.35698	17276.7	8415.8	17754.0363623456	8612.52913104547
405/561	17555.7	7951.9	17539.3	7879.6	157.38315	1323.99292	370.27448	1.44209	1.00354	298.39795	1743.60205	1268	1	194	1	26.928	26.928	238.31873	35.24356	17555.7	7951.9	18031.2835102665	8146.51444683281
405/561	17909	7962.8	17878.7	7856.4	291.17914	2194.47046	350.46512	0.35929	1.19947	298.62866	3072.86328	1953	1	202	1	-10.008	-10.008	395.00468	20.04059	17909	7962.8	18369.6662669711	8120.05865553122
405/561	17966.2	8036.1	17934.7	7927.2	246.7558	2883.70117	326.76807	0.86942	1.42229	324.41498	4559.54736	1983	2	207	1	-28.8	-28.8	519.06621	18.93117	17966.2	8036.1	18425.6145936142	8190.72733395955
405/561	17735	8073.3	17701.1	7958.9	212.40323	1627.92505	353.42453	0.5879	1.13828	309.75189	2081.9397	2049	1	124	1	0.36	0.36	293.02651	27.10496	17735	8073.3	18191.8986756264	8222.1419647902
405/561	18290.2	8614.4	18253.7	8481.7	171.12814	2898.74683	343.85303	0.31496	1.10641	292.09381	3727.71777	2257	2	303	1	13.32	13.32	521.77443	19.78925	18290.2	8614.4	18744.1127755565	8744.07518132131
405/561	18278	8585.9	18241.5	8451.5	408.19644	4327.45703	315.99054	1.28306	1.45538	326.37555	4633.5625	2275	2	63	1	-25.56	-25.56	778.94227	12.37315	18278	8585.9	18731.8778793352	8713.80254582017
405/561	16139.4	7993.8	16102.6	7856.2	227.74797	1262.84045	300.61249	1.47655	1.23388	326.93143	1377.71448	2311	1	186	1	12.024	12.024	227.31128	26.05212	16139.4	7993.8	16592.9073559303	8118.35843119486
405/561	16866.9	8575.2	16829	8430.5	145.28574	955.85596	327.44983	0.2905	1.11192	314.47324	904.01471	2393	1	184	1	19.8	19.8	172.05407	38.9276	16866.9	8575.2	17319.1430457264	8692.33598164638
405/561	16375.9	8847.1	16335.8	8687.5	163.56323	1291.37732	358.71024	0.53121	1.24346	323.63971	1360.60974	2575	1	208	1	-24.264	-24.264	232.44792	35.23425	16375.9	8847.1	16825.5597289018	8948.64977080588
405/561	17861.9	7937.8	17819.9	7767.5	280.05966	3095.53687	343.6618	0.15017	1.33428	273.42889	4132.36963	2716	2	278	1	-28.8	-28.8	557.19664	18.10576	17861.9	7937.8	18309.3446118749	8028.14686192409
405/561	17856	7926.4	17813.4	7754.7	329.03906	2332.00659	339.8609	0.18426	1.29123	300.25342	2285.44092	2740	1	285	1	-19.08	-19.08	419.76119	18.01788	17856	7926.4	18302.7893597693	8015.26381559073
405/561	16976.6	8611.2	16931.9	8434.2	162.19809	2239.04053	333.08997	0.2483	1.20548	263.62769	2891.25049	2827	2	162	1	-0.288	-0.288	403.02729	22.69047	16976.6	8611.2	17421.085066822	8694.46910703156
405/561	17853.6	7944.6	17808	7765.5	322.8703	2041.52063	321.01318	0.6192	1.16917	311.30292	2497.41064	2861	1	175	1	12.024	12.024	367.47371	18.59946	17853.6	7944.6	18297.1035064204	8025.65665741195
405/561	17204	8880.2	17156.5	8695.2	146.14143	979.89185	330.56924	0.23284	1.14623	305.98254	967.76581	2942	1	170	1	12.024	12.024	176.38053	38.24217	17204	8880.2	17645.4052518106	8955.09500993435
405/561	17858.9	7969	17811.3	7783.2	292.27942	2032.38123	336.63828	0.12117	1.06615	321.87836	2149.95703	2952	1	178	1	25.632	25.632	365.82862	20.59076	17858.9	7969	18300.1803871021	8043.06332290389
405/561	17107.7	8785.9	17057	8588	204.59155	4529.49072	319.30344	1.09119	1.40892	292.32925	4672.75977	3098	3	177	1	-22.32	-22.32	815.30833	13.60692	17107.7	8785.9	17545.5074857153	8847.41631703209
405/561	17114.5	8844.7	17063.5	8645.3	408.09335	3605.56567	335.01596	0.41167	1.3249	316.46222	3872.49902	3143	2	116	1	-21.024	-21.024	649.00182	15.97844	17114.5	8844.7	17551.8887921756	8904.58452343209
405/561	17864.6	7986.9	17812.9	7785	297.28815	2146.93384	343.0683	0.01073	1.25604	315.33777	2865.36987	3225	1	176	1	-15.192	-15.192	386.44809	20.10692	17864.6	7986.9	18301.0681514743	8044.05196059178
405/561	18068.3	8499.5	18013.9	8286.6	128.1019	875.01331	333.64883	0.03842	1.09667	306.27066	1486.40039	3469	1	177	1	20.448	20.448	157.5024	43.33437	18068.3	8499.5	18501.3823534772	8545.0231358922
405/561	16415	8635.9	16354.6	8416.2	165.95273	1078.90479	325.50629	0.30076	1.07041	305.37122	1224.71997	3618	1	181	1	28.872	28.872	194.20286	33.91182	16415	8635.9	16841.6458033229	8674.29054577543
405/561	17250.5	8474.2	17184.3	8252.9	128.04439	946.78986	347.14151	0.1503	1.24588	303.09933	1094.66418	3961	1	190	1	-16.488	-16.488	170.42217	43.13867	17250.5	8474.2	17670.3065200511	8510.39488372285
405/561	18033.6	8290.1	17966.7	8067.4	165.05023	1173.69556	340.43146	0.15021	1.12996	301.11847	1644.88171	4035	1	253	1	10.08	10.08	211.2652	33.86368	18033.6	8290.1	18452.4783924867	8324.80052083868
405/561	17775.6	7984.8	17703.6	7754.2	225.92488	1925.97791	372.73798	1.20026	1.15163	286.26962	2417.14941	4212	1	263	1	-15.84	-15.84	346.67602	24.76861	17775.6	7984.8	18188.8306891445	8011.42861366148
405/561	18133.7	8149.9	18054.7	7910	134.6927	800.85248	311.28937	1.31365	1.37913	331.3063	1054.11658	4515	1	270	1	-13.248	-13.248	144.15345	42.82686	18133.7	8149.9	18538.9973282126	8167.12460636118
405/561	18062.8	7977	17995.4	7748.4	299.3046	2346.42163	357.44266	0.87411	1.06498	347.83606	2130.57495	5025	1	107	1	15.912	15.912	422.35589	20.77923	18062.8	7977	18478.1940941716	8005.96410280815
405/561	17950.6	9115.8	17883.2	8887.2	145.11371	990.60364	333.54602	0.02502	1.08645	305.27435	1161.78992	5028	1	163	1	22.392	22.392	178.30865	38.45521	17950.6	9115.8	18365.9856735747	9144.7691897787
405/561	18172.6	8757.5	18172.6	8757.5	494.26566	3306.96216	330.2132	0.59243	1.33589	256.01865	4810.81885	12	1	470	1	16.272	16.272	595.25319	12.00589	18172.6	8757.5	18300.2906784348	8712.62900791927
405/561	18398.4	9238.6	18398.4	9238.6	155.36375	975.82489	319.94189	1.34522	1.56307	317.89978	1306.36987	38	1	462	1	-4.464	-4.464	175.64848	36.72505	18398.4	9238.6	18526.0185919373	9193.77745420776
405/561	17032.6	8717.8	17032.6	8717.8	267.32065	2263.29492	371.46198	0.66091	1.3475	300.68359	3246.55176	39	1	476	1	-16.776	-16.776	407.39309	21.6884	17032.6	8717.8	17160.2158292409	8672.97936459865
405/561	17987.3	9184.1	17987.3	9184.1	321.46872	2687.83813	369.14096	0.57092	1.35665	351.38342	3338.27124	48	1	456	1	-16.128	-16.128	483.81086	19.55197	17987.3	9184.1	18114.8909982835	9139.29671559289
405/561	17065.6	8650.2	17065.6	8650.2	206.55708	1513.7478	345.59445	0.10184	1.24456	281.80859	2107.80518	52	1	722	1	20.808	20.808	272.4746	26.73318	17065.6	8650.2	17193.1799816472	8605.40451826002
405/561	16498.6	8711.8	16498.6	8711.8	172.26288	3498.00073	333.8963	0.71022	1.45724	355.35846	9939.62695	58	2	635	1	-2.52	-2.52	629.64013	17.12989	16498.6	8711.8	16626.1634791683	8667.01632759268
405/561	17285.7	8451.4	17285.7	8451.4	319.78244	2205.52515	335.26541	0.49582	1.37138	329.40714	3139.70093	67	1	240	1	7.848	7.848	396.99453	19.16856	17285.7	8451.4	17413.238776368	8406.6342790392
405/561	18145.7	9001	18145.7	9001	208.72401	1805.17468	375.43387	1.26414	1.16061	374.42517	1899.76172	77	1	438	1	16.272	16.272	324.93144	29.86898	18145.7	9001	18273.2114011192	8956.25456011074
405/561	17644.2	9243.6	17644.2	9243.6	264.80579	1649.65491	318.63455	1.17191	1.44195	332.96817	1731.79614	80	1	397	1	10.44	10.44	296.93788	22.848	17644.2	9243.6	17771.7032035029	9198.86071335017
